🚀 开始处理...

🤖 模式: 使用视频+现有字幕（Whisper词级+LLM）
📖 读取现有字幕: EverythingyouthinkyouknowaboutaddictioniswrongJoha_word_based.srt
✅ 读取到 286 条原始字幕
📝 原始文本长度: 16711 字符
🔍 检查缓存...
   视频文件: /Users/mark/Downloads/EverythingyouthinkyouknowaboutaddictioniswrongJoha.mp4
   缓存开关: ✅ 已启用
   缓存键: c0cd0f8ab42861d7... (SHA256)
   ✅ 找到缓存！
   📊 从缓存加载: 3091 个词
   🌐 检测语言: en
🤖 使用 LLM 进行智能断句优化...
   LLM提供商: siliconflow
   LLM模型: deepseek-ai/DeepSeek-V3.1-Terminus
   处理文本: 3091 词
   ⏳ 正在调用 LLM API，请稍候...
   📡 LLM 响应流:[
{"text": "One of my earliest memories is", "word_count": 5},
{"text": "of trying to wake up", "word_count": 5},
{"text": "one of my relatives and", "word_count": 5},
{"text": "not being able to.", "word_count": 4},
{"text": "And I was just a", "word_count": 5},
{"text": "little kid, so I didn't", "word_count": 5},
{"text": "really understand why.", "word_count": 3},
{"text": "But as I got older,", "word_count": 5},
{"text": "I realized we had drug", "word_count": 5},
{"text": "addiction in my family,", "word_count": 4},
{"text": "including later cocaine addiction.", "word_count": 4},
{"text": "And I've been thinking about", "word_count": 5},
{"text": "it a lot lately,", "word_count": 4},
{"text": "partly because it's now exactly", "word_count": 5},
{"text": "100 years since drugs were", "word_count": 5},
{"text": "first banned in the United", "word_count": 5},
{"text": "States and Britain, and we", "word_count": 5},
{"text": "then imposed that on the", "word_count": 5},
{"text": "rest of the world.", "word_count": 5},
{"text": "It's a century since we", "word_count": 5},
{"text": "made this really fateful decision", "word_count": 5},
{"text": "to take addicts and punish", "word_count": 5},
{"text": "them and make them suffer,", "word_count": 5},
{"text": "because we believed that would", "word_count": 5},
{"text": "deter them, it would give", "word_count": 5},
{"text": "them an incentive to stop.", "word_count": 6},
{"text": "And a few years ago,", "word_count": 5},
{"text": "I was looking at some", "word_count": 5},
{"text": "of the addicts in my", "word_count": 5},
{"text": "life who I love and", "word_count": 6},
{"text": "trying to figure out, if", "word_count": 6},
{"text": "there was some way to", "word_count": 6},
{"text": "help them.", "word_count": 2},
{"text": "And I realized there were", "word_count": 5},
{"text": "loads of incredibly basic questions", "word_count": 5},
{"text": "I just didn't know the", "word_count": 5},
{"text": "answer to.", "word_count": 3},
{"text": "Like, what really causes addiction?", "word_count": 5},
